molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL3110353,COc1ccc(S(=O)(=O)Nc2cc(-c3nn4c(C)nnc4c4ccccc34)ccc2N2CCN(C)CC2)cc1,1000,active,543.653,3.81412,1,9,1000,6
CHEMBL3108803,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccc(Cl)cc4)c3)nn12,19952.62,inactive,535.029,4.54372,1,8,19952.62,4.700000069
CHEMBL3108801,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccccc4Cl)c3)nn12,25118.86,inactive,535.029,4.54372,1,8,25118.86,4.600000075
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,31622.78,inactive,434.923,6.0035,2,3,31622.78,4.499999953
CHEMBL3785432,CCCS(=O)(=O)c1nc(NC2CC2)cc(-c2ccc3c(ccn3C3CC(C)(C)NC(C)(C)C3)c2)n1,47,active,495.693,5.338,2,7,47,7.327902142
CHEMBL3959584,CC(=O)N1CCc2[nH]nc(Nc3ccccc3)c2C1,20000,inactive,256.309,2.0579,2,3,20000,4.698970004
CHEMBL3968533,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1,20000,inactive,424.48,3.0323,1,7,20000,4.698970004
CHEMBL4068116,C[C@@H]1CC(=O)Nc2cccc(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)c2N1,20000,inactive,437.494,5.2516,2,5,20000,4.698970004
CHEMBL4063051,Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)c2c1C(=O)CCC2,1000,active,410.495,4.67292,2,4,1000,6
CHEMBL4088466,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c21,1000,active,430.432,4.0076,1,5,1000,6
CHEMBL4059509,CCc1cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2n(CC)c1=O,20000,inactive,381.457,3.25628,1,5,20000,4.698970004
CHEMBL4088418,CN1CCC(N(C)C(=O)c2cn(C)c(=O)c3[nH]ccc23)CC1,780,active,302.378,1.0328,1,4,780,6.107905397
CHEMBL4061901,CC(C)N1CCC(N(C)C(=O)c2cn(C)c(=O)c3[nH]ccc23)CC1,500,active,330.432,1.8114,1,4,500,6.301029996
CHEMBL4061800,CC(c1ccccc1)N1CCC(N(C)C(=O)c2cn(C)c(=O)c3[nH]ccc23)CC1,330,active,392.503,3.1642,1,4,330,6.48148606
CHEMBL4089866,C=CCn1cc(C(=O)N(C)C2CCN(C(C)c3ccccc3)CC2)c2cc[nH]c2c1=O,500,active,418.541,3.8132,1,4,500,6.301029996
CHEMBL4078864,C=CCn1cc(C(=O)N(C)C2CCN([C@H](C)c3ccccc3)CC2)c2cc(C)[nH]c2c1=O,200,active,432.568,4.12162,1,4,200,6.698970004
CHEMBL4077529,C=CCn1cc(C(=O)N(C)C2CCN([C@@H](C)c3ccccc3)CC2)c2cc(C)[nH]c2c1=O,190,active,432.568,4.12162,1,4,190,6.721246399
CHEMBL4077036,C=CCn1cc(C(=O)N(C)C2CCN(c3ccncn3)CC2)c2cc[nH]c2c1=O,240,active,392.463,2.0466,1,6,240,6.619788758
CHEMBL4068293,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C(F)(F)F)ncn3)CC2)c2cc[nH]c2c1=O,200,active,460.46,3.0654,1,6,200,6.698970004
CHEMBL4076381,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(OC)ncn3)CC2)c2cc[nH]c2c1=O,130,active,422.489,2.0552,1,7,130,6.886056648
CHEMBL4093696,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C4CC4)ncn3)CC2)c2cc[nH]c2c1=O,83,active,432.528,2.924,1,6,83,7.080921908
CHEMBL4062038,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C(C)(C)C)ncn3)CC2)c2cc[nH]c2c1=O,55,active,448.571,3.3441,1,6,55,7.259637311
CHEMBL4081975,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(OC)nc(C)n3)CC2)c2cc[nH]c2c1=O,71,active,436.516,2.36362,1,7,71,7.148741651
CHEMBL4076384,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C)nc(C)n3)CC2)c2cc[nH]c2c1=O,93,active,420.517,2.66344,1,6,93,7.031517051
CHEMBL4088221,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C4CC4)nc(C)n3)CC2)c2cc[nH]c2c1=O,52,active,446.555,3.23242,1,6,52,7.283996656
CHEMBL4062597,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-n4cccn4)ncn3)CC2)c2cc[nH]c2c1=O,59,active,458.526,2.2323,1,8,59,7.229147988
CHEMBL4076944,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccco4)ncn3)CC2)c2cc[nH]c2c1=O,45,active,458.522,3.3066,1,7,45,7.346787486
CHEMBL4104121,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccccc4C)ncn3)CC2)c2cc[nH]c2c1=O,46,active,482.588,4.02202,1,6,46,7.337242168
CHEMBL4075584,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccccc4F)ncn3)CC2)c2cc[nH]c2c1=O,44,active,486.551,3.8527,1,6,44,7.356547324
CHEMBL4077439,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccccc4OC)ncn3)CC2)c2cc[nH]c2c1=O,45,active,498.587,3.7222,1,7,45,7.346787486
CHEMBL4073178,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4cccc(OC)c4)ncn3)CC2)c2cc[nH]c2c1=O,16,active,498.587,3.7222,1,7,16,7.795880017
CHEMBL4097025,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,20000,inactive,525.604,4.3545,1,7,20000,4.698970004
CHEMBL4076748,CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,14000,inactive,510.589,4.5616,0,7,14000,4.853871964
CHEMBL4436408,CN(C)C(=O)c1cccc(-c2cn(C)c(=O)c3[nH]ccc23)c1,240,active,295.342,2.2354,1,3,240,6.619788758
CHEMBL4572531,C=CCCn1cc(-c2cccc(C(=O)N3CCN(C)CC3)c2)c2cc[nH]c2c1=O,550,active,390.487,2.9603,1,4,550,6.259637311
CHEMBL4586175,C=CCCn1cc(-c2cc(OC(F)F)cc(C(=O)N3CCOCC3)c2)c2cc[nH]c2c1=O,700,active,443.45,3.6465,1,5,700,6.15490196
CHEMBL4448723,C=CCCn1cc(-c2cc(C#N)cc(C(=O)N3CCOCC3)c2)c2cc[nH]c2c1=O,350,active,402.454,2.91678,1,5,350,6.455931956
CHEMBL4459431,C=CCCn1cc(-c2cncc(C(=O)N3CCOCC3)c2)c2cc[nH]c2c1=O,830,active,378.432,2.4401,1,5,830,6.080921908
CHEMBL4566599,C=CCCn1cc(-c2cnc(OC)c(C(=O)N3CCOCC3)c2)c2cc[nH]c2c1=O,1000,active,408.458,2.4487,1,6,1000,6
CHEMBL4440829,C=CCCn1cc(-c2cnc(OCC)c(C(=O)N3CCOCC3)c2)c2cc[nH]c2c1=O,590,active,422.485,2.8388,1,6,590,6.229147988
CHEMBL4468549,C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3nc[nH]c3c2)c2cc[nH]c2c1=O,820,active,417.469,2.9214,2,5,820,6.086186148
CHEMBL4455513,C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3c(c2)ncn3C)c2cc[nH]c2c1=O,230,active,431.496,2.9318,1,6,230,6.638272164
CHEMBL4513694,C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3ncn(C)c3c2)c2cc[nH]c2c1=O,360,active,431.496,2.9318,1,6,360,6.443697499
CHEMBL4453202,C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3ncn(CC)c3c2)c2cc[nH]c2c1=O,590,active,445.523,3.4147,1,6,590,6.229147988
CHEMBL4453989,O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1,31622.78,inactive,414.871,1.0049,2,5,31622.78,4.499999953
CHEMBL4453574,O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCCCC2)c1,12589.25,inactive,428.898,1.395,2,5,12589.25,4.900000142
CHEMBL4531037,CN(C)S(=O)(=O)c1cc(NC(=O)CN2C(=O)CNC2=O)ccc1Cl,79432.82,inactive,374.806,0.0806,2,5,79432.82,4.100000019
CHEMBL4568195,CC1(C)CCN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)CNC3=O)ccc2Cl)C1,25118.86,inactive,428.898,1.2509,2,5,25118.86,4.600000075
CHEMBL4562898,C[C@@H]1CN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)CNC3=O)ccc2Cl)C[C@@H]1C,19952.62,inactive,428.898,1.1068,2,5,19952.62,4.700000069
CHEMBL4521850,O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCC(C3CC3)C2)c1,501.19,active,440.909,1.2509,2,5,501.19,6.299997603
CHEMBL4554550,O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)C2CCCCC2)c1,100000,inactive,413.883,1.9367,2,5,100000,4
CHEMBL4442695,O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)n2ccnc2)c1,100000,inactive,397.8,0.2638,2,7,100000,4
CHEMBL4454864,O=C(CN1CCCC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,19952.62,inactive,385.873,1.6854,1,4,19952.62,4.700000069
CHEMBL4567224,CC(=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,79432.82,inactive,302.783,2.0829,1,3,79432.82,4.100000019
CHEMBL4565203,C[C@@]1(C2CC2)NC(=O)N(CC(=O)Nc2ccc(Br)c(S(=O)(=O)N3CCCC3)c2)C1=O,398.11,active,499.387,1.8926,2,5,398.11,6.399996913
CHEMBL4449894,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)N[C@@](C)(C4CC4)C3=O)ccc2Br)C1,316.23,active,513.414,2.1386,2,5,316.23,6.499996932
CHEMBL4589592,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)N[C@](C)(C4CC4)C3=O)ccc2Br)C1,125.89,active,513.414,2.1386,2,5,125.89,6.900008766
CHEMBL4576280,C[C@@H]1CN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)NC(C)(C4CC4)C3=O)ccc2Br)C[C@H]1C,125.89,active,527.441,2.3846,2,5,125.89,6.900008766
CHEMBL4589461,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)Cn3c(=O)[nH]c4ccccc43)ccc2Br)C1,501.19,active,493.383,2.7613,2,5,501.19,6.299997603
CHEMBL4436652,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)Cn3c(=O)oc4ccccc43)ccc2Br)C1,63.1,active,494.367,3.0262,1,6,63.1,7.199970641
CHEMBL4446238,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)Cn3nnc4ccccc43)ccc2Br)C1,199.53,active,478.372,2.863,1,6,199.53,6.699991797
CHEMBL4470476,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)Cc3noc4ccccc34)ccc2Br)C1,251.19,active,478.368,3.802,1,5,251.19,6.599997654
